primary_key,fun,and,games
1,698,760,379
2,979,178,133
3,746,554,65
4,113,109,956
117,833,918,897
118,496,971,985
119,410,887,750
120,414,652,972
121,230,442,348
122,782,480,852
123,988,358,182
124,618,147,58
125,621,417,898
126,455,719,394
127,807,918,912
128,688,62,475
129,17,826,121
130,825,253,758
131,645,959,458
132,757,940,172
133,43,421,683
134,511,947,353
135,261,37,39
136,100,419,858
137,229,642,923
138,330,932,396
139,410,511,137
140,154,799,197
141,117,422,801
142,561,626,600
143,565,197,788
144,872,313,518
145,32,335,283
146,581,45,818
147,662,219,361
148,842,104,223
149,140,284,735
150,162,587,868
151,29,72,196
152,290,327,451
153,339,211,134
154,242,517,411
155,131,707,875
156,16,598,354
157,1000,922,139
158,510,646,428
159,270,842,566
160,244,676,644
161,762,768,238
162,606,402,246
163,869,517,952
164,572,956,782
165,315,92,379
166,147,160,465
167,380,564,922
168,918,436,642
169,474,175,131
170,269,523,710
171,535,801,806
172,892,910,16
173,672,386,601
174,930,765,634
175,200,936,159
176,578,95,45
177,918,984,64
178,506,682,622
179,600,128,834
180,940,282,608
181,749,515,775
182,419,823,748
183,243,244,296
184,105,601,378
185,179,650,181
186,755,129,916
187,363,522,862
188,140,310,141
189,500,408,269
190,290,972,469
191,813,86,525
192,556,40,888
193,328,119,835
194,750,312,790
195,548,249,26
196,931,154,248
197,896,188,30
198,801,467,188
199,522,208,14
200,355,893,356
201,921,244,539
202,927,850,11
203,564,926,279
204,485,910,652
205,507,751,404
206,636,698,474
207,555,640,920
208,438,147,834
209,176,911,933
210,24,247,148
211,275,942,538
212,352,253,787
213,522,35,400
214,490,591,882
215,130,288,721
216,538,34,421
217,966,857,438
218,405,384,146
219,851,532,672
220,755,766,560
221,331,651,20
222,870,398,975
223,822,308,13
224,758,865,397
225,418,68,638
226,355,202,761
227,302,23,55
228,981,982,416
229,921,362,1
230,509,633,906
231,531,38,607
232,130,723,513
233,720,631,619
234,59,760,635
235,352,594,750
236,415,244,814
237,185,874,247
238,298,111,10
239,35,598,605
240,989,642,355
241,399,110,91
242,85,877,820
243,765,781,15
244,195,291,376
245,602,335,660
246,713,618,258
247,769,639,356
248,70,685,535
249,687,348,968
250,566,697,439
251,197,97,110
252,491,936,467
253,682,293,597
254,442,834,58
255,997,242,336
256,610,71,580
257,510,700,99
258,695,312,890
259,184,650,245
260,506,257,655
261,401,479,174
262,110,969,478
263,245,546,393
264,124,129,487
265,404,788,91
266,94,115,7
267,699,445,508
268,729,541,61
269,811,725,434
270,117,86,895
271,964,193,596
272,405,18,294
273,635,804,16
274,697,237,708
275,4,457,834
276,602,361,81
277,807,804,297
278,801,380,171
279,521,741,537
280,880,196,76
281,27,10,845
282,153,732,752
283,95,219,745
284,755,530,943
285,338,321,887
286,245,36,538
287,212,87,861
288,929,977,892
289,946,614,500
290,114,444,633
291,18,127,651
292,645,918,301
293,244,310,656
294,451,789,548
295,680,84,533
296,117,268,174
297,263,155,90
298,357,442,984
299,67,695,339
300,35,336,492
301,950,151,498
302,144,815,941
303,775,886,31
304,829,843,402
305,60,847,323
306,244,406,982
307,125,552,275
308,435,264,469
309,33,941,515
310,152,853,286
311,4,857,45
